--------- beginning of main
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                         android.widget.ImageView id=data_inout vis=8 0x0 @983,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                     com.android.systemui.statusbar.StatusBarIconView id=status_bar_dot vis=0 61x61 @983,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                   com.oplus.systemui.statusbar.phone.signal.widget.OplusModernStatusBarMobileView id=mobile_combo vis=0 61x61 @1044,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                     com.android.keyguard.AlphaOptimizedLinearLayout id=mobile_group vis=0 57x61 @1044,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                       android.widget.ImageView id=mobile_volte vis=8 0x0 @1044,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                       android.widget.FrameLayout id=inout_container vis=8 0x0 @1044,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                         android.widget.ImageView id=mobile_in vis=8 0x0 @1044,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                         android.widget.ImageView id=mobile_out vis=8 0x0 @1044,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                       android.widget.Space id=mobile_roaming_space vis=8 0x0 @1044,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                       android.widget.ImageView id=mobile_roaming_large vis=8 0x0 @1044,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                       android.widget.FrameLayout id=mobile_combo_real vis=0 57x61 @1044,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                         com.android.systemui.statusbar.AnimatedImageView id=mobile_signal vis=0 57x48 @1044,58
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                         android.widget.ImageView id=mobile_type vis=8 0x0 @1044,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                         android.widget.ImageView id=mobile_roaming vis=8 0x0 @1044,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                         android.widget.ImageView id=data_inout vis=8 0x0 @1044,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                     com.android.systemui.statusbar.StatusBarIconView id=status_bar_dot vis=0 61x61 @1044,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                 com.oplus.systemui.statusbar.pipeline.battery.ui.view.StatBatteryMeterView id=battery vis=0 83x61 @1105,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                   android.widget.ImageView id=battery_charge_reverse vis=8 0x0 @1105,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                   android.widget.FrameLayout id=battery_content vis=8 0x0 @1105,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                     android.widget.LinearLayout id=- vis=0 0x0 @1105,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                       android.widget.ProgressBar id=stat_battery_view vis=0 0x0 @1105,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                     android.widget.TextView id=battery_text vis=8 0x0 @1105,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                   android.widget.ImageView id=battery_icon_view vis=0 79x48 @1108,58
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                   android.widget.ImageView id=battery_charge_icon vis=8 0x0 @1105,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02                   android.widget.TextView id=battery_percentage_view vis=8 0x0 @1105,52
09-20 22:42:39.940 25549 25549 I DuoSB   : P-02       android.widget.LinearLayout id=dynamic_icon_group vis=0 9x141 @1200,0
09-20 22:42:39.942 25549 25549 I DuoSB   : P-02         com.oplus.systemui.statusbar.phone.dynamic.DynamicContentLayout id=dynamic_icon_content vis=0 0x90 @1200,38
09-20 22:42:39.942 25549 25549 I DuoSB   : P-02           com.android.systemui.util.AutoMarqueeTextView id=dynamic_icon_text vis=8 0x0 @1200,38
09-20 22:42:39.942 25549 25549 I DuoSB   : P-02         android.widget.LinearLayout id=privacy_chip_window vis=0 0x90 @1209,38
